source_group,reference_regime,hardness_axis,conditioning_key,timestep,mean_raw_l2,mean_clean_pair_l2,mean_clean_subject_l2,mean_roundtrip_ratio,n
dreambooth_hard_reference,hard_reference,high_frequency,class_context,800,0.003399872063036558,0.004503844776422248,0.004503844776422248,8.46255272366361,80
dreambooth_hard_reference,hard_reference,high_frequency,class_context,999,-0.004923637481819279,-0.00041784022066424127,-0.00041784022066424127,1.1682364191353798,80
dreambooth_hard_reference,hard_reference,high_frequency,null,50,-0.05438882898126418,-0.0934588025113905,-0.0934588025113905,0.8821512776618657,80
dreambooth_hard_reference,hard_reference,high_frequency,null,200,-0.017560394243100217,-0.05634855988773604,-0.05634855988773604,1.312751980443573,80
dreambooth_hard_reference,hard_reference,high_frequency,null,500,0.012019881832248721,-0.0035859993148557078,-0.0035859993148557078,8.222917484872974,80
dreambooth_hard_reference,hard_reference,high_frequency,null,800,0.0010531545331684301,0.003580138134154935,0.003580138134154935,8.47415343075026,80
dreambooth_hard_reference,hard_reference,high_frequency,null,999,-0.005599340580753386,-0.0003213693500334749,-0.0003213693500334749,1.248508830657888,80
dreambooth_reference,standard_reference,none,class,50,0.03115483834633525,-0.008910597986040759,-0.008910597986040759,1.022953348800909,80
dreambooth_reference,standard_reference,none,class,200,0.02850358318756201,-0.01179520439397166,-0.01179520439397166,1.604946014662768,80
dreambooth_reference,standard_reference,none,class,500,0.007997319779062758,-0.008494484557219944,-0.008494484557219944,0.95275017553921,80
dreambooth_reference,standard_reference,none,class,800,-0.004056957690611554,-0.003246084298870914,-0.003246084298870914,1.315784297965465,80
dreambooth_reference,standard_reference,none,class,999,-0.005066104554601189,-0.0011803930256089263,-0.0011803930256089263,0.8547829085790195,80
dreambooth_reference,standard_reference,none,class_context,50,0.03109445826697622,-0.008887634775188964,-0.008887634775188964,1.022545801413599,80
dreambooth_reference,standard_reference,none,class_context,200,0.02847648106396945,-0.011796422334736895,-0.011796422334736895,1.5671845079182087,80
dreambooth_reference,standard_reference,none,class_context,500,0.008094687111317101,-0.008478490536288342,-0.008478490536288342,0.946762938690006,80
dreambooth_reference,standard_reference,none,class_context,800,-0.004328474599021935,-0.003224501885636245,-0.003224501885636245,5.726815731196864,80
dreambooth_reference,standard_reference,none,class_context,999,-0.00568474449977859,-0.0011789472386235524,-0.0011789472386235524,0.8136818818507715,80
dreambooth_reference,standard_reference,none,null,50,0.030201073459884986,-0.008868900070241341,-0.008868900070241341,1.0242854210154644,80
dreambooth_reference,standard_reference,none,null,200,0.027002760740319383,-0.011785404904316439,-0.011785404904316439,9.959913713127872,80
dreambooth_reference,standard_reference,none,null,500,0.0071534665531106986,-0.00845241459399373,-0.00845241459399373,1.212960782979081,80
dreambooth_reference,standard_reference,none,null,800,-0.005882356152040335,-0.00335537255105383,-0.00335537255105383,1.3503863117533519,80
dreambooth_reference,standard_reference,none,null,999,-0.006446866838995706,-0.0011688956082757953,-0.0011688956082757953,0.8189039043790443,80
vae_roundtrip_control,roundtrip_control,none,class,50,0.04006543633237601,0.0,0.0,0.9999987956212637,80
vae_roundtrip_control,roundtrip_control,none,class,200,0.04029878758153367,0.0,0.0,0.9999993858764931,80
vae_roundtrip_control,roundtrip_control,none,class,500,0.016491804336282702,0.0,0.0,0.999997509180465,80
vae_roundtrip_control,roundtrip_control,none,class,800,-0.0008108733917406401,0.0,0.0,0.9999958863953478,80
vae_roundtrip_control,roundtrip_control,none,class,999,-0.0038857115289922623,0.0,0.0,0.9999958985778026,80
vae_roundtrip_control,roundtrip_control,none,class_context,50,0.039982093042165184,0.0,0.0,0.9999985712186952,80
vae_roundtrip_control,roundtrip_control,none,class_context,200,0.040272903398706345,0.0,0.0,0.9999993838409497,80
vae_roundtrip_control,roundtrip_control,none,class_context,500,0.016573177647605443,0.0,0.0,0.9999977941531007,80
vae_roundtrip_control,roundtrip_control,none,class_context,800,-0.00110397271338569,0.0,0.0,0.9999974048663052,80
vae_roundtrip_control,roundtrip_control,none,class_context,999,-0.0045057972611550375,0.0,0.0,0.9999815915373077,80
